Date,Season,DayZero,DayNum,WTeamID,WTeamName,WScore,LTeamID,LTeamName,LScore,WLoc,NumOT,WFGM,WFGA,WFG%,WFGM3,WFGA3,WFG3%,WFTM,WFTA,WFT%,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFG%,LFGM3,LFGA3,LFG3%,LFTM,LFTA,LFT%,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Round,W_rebounds,L_rebounds
2010-03-22,2010,2009-11-02,140,3124,Baylor,49,3207,Georgetown,33,N,0,16,42,38.1,0,4,0.0,17,27,63.0,7,38,10,21,8,16,10,12,70,17.1,3,18,16.7,6,10,60.0,19,25,9,13,8,5,24,,45,44
2010-03-22,2010,2009-11-02,140,3181,Duke,60,3261,LSU,52,H,0,23,52,44.2,1,10,10.0,13,16,81.2,11,21,5,19,13,3,16,20,48,41.7,2,7,28.6,10,10,100.0,7,20,13,22,9,4,15,,32,27
2010-03-22,2010,2009-11-02,140,3199,Florida St,66,3385,St John's,65,H,1,25,58,43.1,6,16,37.5,10,12,83.3,14,21,17,21,7,6,20,24,62,38.7,0,4,0.0,17,24,70.8,18,18,11,16,7,2,14,,35,36
2010-03-22,2010,2009-11-02,140,3208,Georgia,74,3329,Oklahoma St,71,N,1,21,63,33.3,8,26,30.8,24,37,64.9,24,29,13,12,2,7,21,20,66,30.3,6,17,35.3,25,30,83.3,20,24,10,9,6,3,24,,53,44
2010-03-22,2010,2009-11-02,140,3211,Gonzaga,72,3401,Texas A&M,71,N,0,26,59,44.1,6,12,50.0,14,18,77.8,11,26,15,17,11,8,12,30,66,45.5,3,10,30.0,8,15,53.3,15,26,16,18,15,8,16,,37,41
2010-03-22,2010,2009-11-02,140,3246,Kentucky,70,3277,Michigan St,52,H,0,25,59,42.4,3,13,23.1,17,28,60.7,11,29,13,11,14,4,13,19,55,34.5,2,12,16.7,12,15,80.0,8,29,9,18,8,5,21,,40,37
2010-03-22,2010,2009-11-02,140,3390,Stanford,96,3234,Iowa,67,H,0,36,64,56.2,11,18,61.1,13,19,68.4,16,25,26,16,6,4,11,27,61,44.3,7,23,30.4,6,9,66.7,10,17,13,14,5,2,13,,41,27
2010-03-22,2010,2009-11-02,140,3397,Tennessee,92,3173,Dayton,64,H,0,41,76,53.9,6,11,54.5,4,12,33.3,16,28,20,9,10,10,16,27,65,41.5,4,13,30.8,6,10,60.0,12,25,9,15,6,5,16,,44,37
2010-03-23,2010,2009-11-02,141,3163,Connecticut,90,3396,Temple,36,N,0,34,55,61.8,12,17,70.6,10,13,76.9,10,37,22,15,8,11,8,14,60,23.3,5,24,20.8,3,9,33.3,14,13,10,15,12,0,16,,47,27
2010-03-23,2010,2009-11-02,141,3235,Iowa St,60,3453,WI Green Bay,56,H,0,19,51,37.3,8,24,33.3,14,21,66.7,8,23,13,10,5,3,12,20,48,41.7,6,17,35.3,10,10,100.0,5,26,15,18,3,2,20,,31,31
2010-03-23,2010,2009-11-02,141,3280,Mississippi St,87,3326,Ohio St,67,N,0,34,61,55.7,12,22,54.5,7,13,53.8,8,18,21,11,14,2,9,25,54,46.3,10,15,66.7,7,9,77.8,13,21,17,24,3,6,14,,26,34
2010-03-23,2010,2009-11-02,141,3304,Nebraska,83,3417,UCLA,70,N,0,25,45,55.6,8,15,53.3,25,38,65.8,9,19,21,17,4,2,12,28,62,45.2,5,13,38.5,9,10,90.0,15,19,16,19,11,2,26,,28,34
2010-03-23,2010,2009-11-02,141,3323,Notre Dame,84,3436,Vermont,66,H,0,31,59,52.5,3,10,30.0,19,29,65.5,15,19,20,14,19,1,13,27,55,49.1,7,15,46.7,5,5,100.0,9,20,19,25,10,5,20,,34,29
2010-03-23,2010,2009-11-02,141,3328,Oklahoma,60,3114,Ark Little Rock,44,H,0,23,47,48.9,1,7,14.3,13,15,86.7,8,27,11,22,6,1,10,19,51,37.3,0,16,0.0,6,12,50.0,9,18,9,20,11,1,16,,35,27
2010-03-23,2010,2009-11-02,141,3361,San Diego St,64,3452,West Virginia,55,N,0,23,52,44.2,4,8,50.0,14,20,70.0,11,23,12,16,6,2,17,20,47,42.6,2,9,22.2,13,22,59.1,10,21,3,18,7,2,22,,34,31
2010-03-23,2010,2009-11-02,141,3462,Xavier,63,3435,Vanderbilt,62,H,0,27,69,39.1,4,21,19.0,5,9,55.6,23,18,17,8,9,1,14,23,55,41.8,7,20,35.0,9,10,90.0,14,21,15,16,6,2,11,,41,35
2010-03-27,2010,2009-11-02,145,3124,Baylor,77,3397,Tennessee,62,A,0,26,53,49.1,3,7,42.9,22,25,88.0,6,35,18,12,2,13,12,25,76,32.9,5,16,31.2,7,15,46.7,19,23,13,8,5,3,17,Elite Eight,41,42
2010-03-27,2010,2009-11-02,145,3181,Duke,66,3361,San Diego St,58,N,0,24,59,40.7,2,9,22.2,16,22,72.7,19,23,12,23,23,3,14,20,53,37.7,9,25,36.0,9,11,81.8,10,18,11,26,11,6,15,Elite Eight,42,28
2010-03-27,2010,2009-11-02,145,3390,Stanford,73,3208,Georgia,36,H,0,28,66,42.4,5,17,29.4,12,15,80.0,17,40,19,11,4,3,10,12,59,20.3,4,22,18.2,8,13,61.5,9,24,4,12,5,6,17,Elite Eight,57,33
2010-03-27,2010,2009-11-02,145,3462,Xavier,74,3211,Gonzaga,56,N,0,28,58,48.3,7,15,46.7,11,16,68.8,18,29,17,22,8,5,13,21,59,35.6,3,12,25.0,11,15,73.3,12,17,13,16,12,5,14,Elite Eight,47,29
2010-03-28,2010,2009-11-02,146,3163,Connecticut,74,3235,Iowa St,36,N,0,26,66,39.4,11,26,42.3,11,13,84.6,15,32,22,9,7,6,10,15,53,28.3,6,25,24.0,0,0,,6,26,10,18,3,1,11,Elite Eight,47,32
2010-03-28,2010,2009-11-02,146,3199,Florida St,74,3280,Mississippi St,71,N,0,29,57,50.9,6,18,33.3,10,12,83.3,11,22,20,14,5,7,15,27,65,41.5,10,24,41.7,7,11,63.6,19,19,21,14,4,4,17,Elite Eight,33,38
2010-03-28,2010,2009-11-02,146,3246,Kentucky,76,3304,Nebraska,67,N,0,31,62,50.0,8,16,50.0,6,12,50.0,13,23,15,16,10,3,21,24,51,47.1,5,12,41.7,14,20,70.0,7,18,10,16,5,2,15,Elite Eight,36,25
2010-03-28,2010,2009-11-02,146,3328,Oklahoma,77,3323,Notre Dame,72,N,1,30,70,42.9,7,14,50.0,10,11,90.9,15,29,21,17,7,5,14,27,63,42.9,3,8,37.5,15,17,88.2,8,25,14,12,11,5,14,Elite Eight,44,33
2010-03-29,2010,2009-11-02,147,3124,Baylor,51,3181,Duke,48,N,0,18,53,34.0,2,12,16.7,13,20,65.0,8,34,12,12,4,9,18,15,65,23.1,3,17,17.6,15,20,75.0,19,29,7,11,6,4,16,,42,48
2010-03-29,2010,2009-11-02,147,3390,Stanford,55,3462,Xavier,53,H,0,20,57,35.1,4,18,22.2,11,14,78.6,10,29,13,12,2,3,13,23,60,38.3,1,14,7.1,6,11,54.5,11,28,11,12,8,2,17,,39,39
2010-03-30,2010,2009-11-02,148,3163,Connecticut,90,3199,Florida St,50,N,0,32,60,53.3,6,12,50.0,20,25,80.0,13,33,23,18,7,8,16,18,63,28.6,4,14,28.6,10,15,66.7,14,17,10,19,2,3,17,,46,31
2010-03-30,2010,2009-11-02,148,3328,Oklahoma,88,3246,Kentucky,68,N,0,32,52,61.5,5,15,33.3,19,21,90.5,8,28,15,21,8,2,18,23,70,32.9,2,17,11.8,20,22,90.9,20,14,6,14,12,0,17,,36,34
2010-04-04,2010,2009-11-02,153,3163,Connecticut,70,3124,Baylor,50,N,0,28,67,41.8,3,17,17.6,11,19,57.9,14,25,20,7,6,3,15,17,45,37.8,1,7,14.3,15,20,75.0,6,28,11,21,5,5,17,,39,34
2010-04-04,2010,2009-11-02,153,3390,Stanford,73,3328,Oklahoma,66,N,0,27,69,39.1,1,15,6.7,18,27,66.7,18,35,13,7,7,3,12,26,68,38.2,4,17,23.5,10,16,62.5,12,29,7,9,4,4,19,,53,41
2010-04-06,2010,2009-11-02,155,3163,Connecticut,53,3390,Stanford,47,N,0,19,58,32.8,6,20,30.0,9,22,40.9,14,35,9,10,5,7,9,18,68,26.5,8,22,36.4,3,4,75.0,16,33,11,11,2,1,20,,49,49
2011-03-19,2011,2010-11-01,138,3177,DePaul,56,3298,Navy,43,N,0,25,67,37.3,3,15,20.0,3,8,37.5,20,19,10,8,12,3,8,16,41,39.0,4,19,21.1,7,12,58.3,10,25,9,23,5,1,12,Round 2 (32 teams),39,35
2011-03-19,2011,2010-11-01,138,3181,Duke,90,3404,TN Martin,45,H,0,37,69,53.6,7,20,35.0,9,14,64.3,14,24,25,8,16,1,15,15,43,34.9,4,17,23.5,11,17,64.7,8,22,8,24,3,0,15,Round 2 (32 teams),38,30
2011-03-19,2011,2010-11-01,138,3210,Georgia Tech,69,3132,Bowling Green,58,N,0,27,58,46.6,2,9,22.2,13,18,72.2,16,16,11,16,13,3,18,20,43,46.5,2,6,33.3,16,18,88.9,9,18,5,25,5,3,16,Round 2 (32 teams),32,27
2011-03-19,2011,2010-11-01,138,3211,Gonzaga,92,3234,Iowa,86,H,0,37,77,48.1,5,14,35.7,13,17,76.5,15,29,21,16,15,4,16,30,67,44.8,13,29,44.8,13,17,76.5,9,28,19,19,5,2,15,Round 2 (32 teams),44,37
2011-03-19,2011,2010-11-01,138,3246,Kentucky,66,3214,Hampton,62,N,1,22,64,34.4,8,19,42.1,14,19,73.7,15,25,14,13,8,6,17,23,63,36.5,6,15,40.0,10,13,76.9,17,28,11,17,4,6,16,Round 2 (32 teams),40,45
2011-03-19,2011,2010-11-01,138,3265,Marist,74,3235,Iowa St,64,N,0,24,55,43.6,10,27,37.0,16,23,69.6,4,25,21,7,8,4,22,19,55,34.5,5,19,26.3,21,29,72.4,17,31,12,17,3,0,20,Round 2 (32 teams),29,48
2011-03-19,2011,2010-11-01,138,3266,Marquette,68,3400,Texas,65,N,0,25,56,44.6,5,15,33.3,13,14,92.9,8,27,9,14,7,7,6,29,74,39.2,7,19,36.8,0,0,,18,24,13,11,9,6,15,Round 2 (32 teams),35,42
2011-03-19,2011,2010-11-01,138,3314,North Carolina,82,3201,Fresno St,68,N,0,27,58,46.6,6,16,37.5,22,29,75.9,16,34,13,15,8,6,14,21,71,29.6,14,50,28.0,12,16,75.0,19,19,15,11,10,1,22,Round 2 (32 teams),50,38
2011-03-19,2011,2010-11-01,138,3323,Notre Dame,67,3428,Utah,54,A,0,25,56,44.6,3,7,42.9,14,21,66.7,11,23,16,10,7,6,14,18,55,32.7,6,18,33.3,12,15,80.0,15,26,7,18,5,3,19,Round 2 (32 teams),34,41
2011-03-19,2011,2010-11-01,138,3326,Ohio St,80,3416,UCF,69,H,0,32,61,52.5,3,11,27.3,13,18,72.2,9,24,23,11,8,6,12,25,63,39.7,8,19,42.1,11,12,91.7,15,24,10,18,6,0,19,Round 2 (32 teams),33,39
2011-03-19,2011,2010-11-01,138,3336,Penn St,75,3173,Dayton,66,H,0,27,66,40.9,3,12,25.0,18,21,85.7,12,30,10,13,10,3,9,27,64,42.2,10,23,43.5,2,5,40.0,9,28,16,22,3,0,17,Round 2 (32 teams),42,37
2011-03-19,2011,2010-11-01,138,3385,St John's,55,3403,Texas Tech,50,N,0,21,60,35.0,2,6,33.3,11,19,57.9,18,29,12,21,11,3,10,20,60,33.3,3,12,25.0,7,9,77.8,13,27,10,20,12,4,17,Round 2 (32 teams),47,40
2011-03-19,2011,2010-11-01,138,3390,Stanford,86,3413,UC Davis,59,H,0,31,56,55.4,13,22,59.1,11,12,91.7,8,25,28,12,8,1,11,22,47,46.8,6,14,42.9,9,12,75.0,2,17,13,15,3,0,14,Round 2 (32 teams),33,19
2011-03-19,2011,2010-11-01,138,3396,Temple,63,3113,Arizona St,45,N,0,27,59,45.8,4,13,30.8,5,6,83.3,12,23,12,10,11,4,15,17,55,30.9,2,15,13.3,9,10,90.0,15,21,11,18,5,3,12,Round 2 (32 teams),35,36
2011-03-19,2011,2010-11-01,138,3397,Tennessee,99,3391,Stetson,34,H,0,39,70,55.7,8,20,40.0,13,24,54.2,17,46,19,7,7,9,10,12,66,18.2,3,24,12.5,7,9,77.8,10,21,3,13,3,1,18,Round 2 (32 teams),63,31
2011-03-19,2011,2010-11-01,138,3417,UCLA,55,3285,Montana,47,N,0,17,40,42.5,1,7,14.3,20,33,60.6,12,20,6,19,19,5,14,16,49,32.7,7,20,35.0,8,12,66.7,14,20,9,25,8,2,20,Round 2 (32 teams),32,34
2011-03-20,2011,2010-11-01,139,3124,Baylor,66,3341,Prairie View,30,H,0,25,55,45.5,1,11,9.1,15,28,53.6,15,36,12,13,10,14,9,12,60,20.0,3,15,20.0,3,5,60.0,13,20,3,18,5,1,16,Round 2 (32 teams),51,33
2011-03-20,2011,2010-11-01,139,3163,Connecticut,75,3216,Hartford,39,H,0,30,61,49.2,4,11,36.4,11,13,84.6,14,33,20,11,6,1,10,17,54,31.5,3,18,16.7,2,4,50.0,5,18,9,11,7,0,14,Round 2 (32 teams),47,23
2011-03-20,2011,2010-11-01,139,3199,Florida St,76,3359,Samford,46,N,0,26,55,47.3,5,11,45.5,19,28,67.9,16,36,15,16,5,0,19,14,52,26.9,5,19,26.3,13,19,68.4,7,16,7,12,3,2,21,Round 2 (32 teams),52,23
2011-03-20,2011,2010-11-01,139,3207,Georgetown,65,3343,Princeton,49,N,0,23,57,40.4,8,21,38.1,11,15,73.3,12,19,9,8,5,5,15,16,43,37.2,4,18,22.2,13,16,81.2,9,24,11,18,5,2,14,Round 2 (32 teams),31,33
2011-03-20,2011,2010-11-01,139,3208,Georgia,56,3292,MTSU,41,N,0,21,44,47.7,1,7,14.3,13,18,72.2,8,30,7,21,10,4,14,16,56,28.6,3,20,15.0,6,10,60.0,12,19,7,17,6,0,18,Round 2 (32 teams),38,31
2011-03-20,2011,2010-11-01,139,3257,Louisville,81,3435,Vanderbilt,62,N,0,30,50,60.0,8,19,42.1,13,14,92.9,9,26,20,20,10,2,11,25,57,43.9,7,18,38.9,5,6,83.3,7,12,15,14,12,3,15,Round 2 (32 teams),35,19
2011-03-20,2011,2010-11-01,139,3268,Maryland,70,3384,St Francis PA,48,H,0,23,58,39.7,5,17,29.4,19,29,65.5,21,28,12,23,12,6,17,16,52,30.8,4,15,26.7,12,18,66.7,12,20,10,24,11,1,20,Round 2 (32 teams),49,32
2011-03-20,2011,2010-11-01,139,3274,Miami FL,80,3205,Gardner Webb,62,N,0,25,66,37.9,6,20,30.0,24,33,72.7,19,31,15,14,12,8,12,24,70,34.3,8,22,36.4,6,7,85.7,16,24,10,21,8,1,23,Round 2 (32 teams),50,40
2011-03-20,2011,2010-11-01,139,3277,Michigan St,69,3320,Northern Iowa,66,N,0,28,60,46.7,8,20,40.0,5,10,50.0,7,27,17,12,8,6,16,24,53,45.3,4,14,28.6,14,19,73.7,7,28,12,15,7,1,16,Round 2 (32 teams),34,35
2011-03-20,2011,2010-11-01,139,3328,Oklahoma,86,3241,James Madison,72,N,0,31,67,46.3,4,16,25.0,20,23,87.0,18,31,12,22,7,6,20,28,77,36.4,2,25,8.0,14,19,73.7,17,21,7,14,15,4,21,Round 2 (32 teams),49,38
2011-03-20,2011,2010-11-01,139,3345,Purdue,53,3243,Kansas St,45,N,0,17,42,40.5,5,14,35.7,14,16,87.5,4,23,9,13,6,6,9,19,63,30.2,6,23,26.1,1,2,50.0,20,22,6,16,3,0,15,Round 2 (32 teams),27,42
2011-03-20,2011,2010-11-01,139,3353,Rutgers,76,3256,Louisiana Tech,51,N,0,28,55,50.9,5,13,38.5,15,18,83.3,8,36,18,12,9,6,21,17,63,27.0,3,23,13.0,14,20,70.0,13,21,7,10,9,4,16,Round 2 (32 teams),44,34
2011-03-20,2011,2010-11-01,139,3401,Texas A&M,87,3270,McNeese St,47,N,0,37,65,56.9,3,11,27.3,10,11,90.9,16,29,26,13,8,5,14,19,59,32.2,4,17,23.5,5,10,50.0,13,12,3,14,5,0,13,Round 2 (32 teams),45,25
2011-03-20,2011,2010-11-01,139,3452,West Virginia,79,3222,Houston,73,A,0,26,69,37.7,5,14,35.7,22,32,68.8,26,26,11,17,9,3,19,22,56,39.3,7,17,41.2,22,29,75.9,10,26,9,16,5,5,21,Round 2 (32 teams),52,36
2011-03-20,2011,2010-11-01,139,3453,WI Green Bay,59,3114,Ark Little Rock,55,N,0,23,54,42.6,5,12,41.7,8,12,66.7,12,24,18,17,6,2,10,23,51,45.1,5,17,29.4,4,6,66.7,5,23,16,17,7,1,21,Round 2 (32 teams),36,28
2011-03-20,2011,2010-11-01,139,3462,Xavier,72,3355,S Dakota St,56,H,0,25,59,42.4,3,12,25.0,19,29,65.5,16,29,11,13,6,6,15,18,51,35.3,5,18,27.8,15,18,83.3,4,22,12,11,4,2,17,Round 2 (32 teams),45,26
2011-03-21,2011,2010-11-01,140,3177,DePaul,75,3336,Penn St,73,A,0,27,69,39.1,8,29,27.6,13,23,56.5,22,18,10,14,9,1,15,29,61,47.5,2,13,15.4,13,16,81.2,14,24,12,17,8,3,16,,40,38
2011-03-21,2011,2010-11-01,140,3181,Duke,71,3265,Marist,66,H,0,27,63,42.9,5,17,29.4,12,23,52.2,21,22,14,16,12,1,10,26,54,48.1,10,27,37.0,4,5,80.0,6,22,20,20,6,3,19,,43,28
2011-03-21,2011,2010-11-01,140,3211,Gonzaga,89,3417,UCLA,75,H,0,29,52,55.8,4,11,36.4,27,33,81.8,6,27,23,16,11,0,13,28,64,43.8,4,14,28.6,15,20,75.0,13,20,17,16,11,1,23,,33,33
2011-03-21,2011,2010-11-01,140,3314,North Carolina,86,3246,Kentucky,74,N,0,28,58,48.3,3,7,42.9,27,30,90.0,15,40,19,22,6,8,21,28,81,34.6,5,23,21.7,13,17,76.5,15,16,10,8,8,3,23,,55,31
2011-03-21,2011,2010-11-01,140,3323,Notre Dame,77,3396,Temple,64,N,0,28,54,51.9,5,11,45.5,16,25,64.0,12,30,21,19,9,7,20,22,61,36.1,8,13,61.5,12,25,48.0,15,19,9,15,12,1,19,,42,34
2011-03-21,2011,2010-11-01,140,3326,Ohio St,67,3210,Georgia Tech,60,H,0,25,42,59.5,3,10,30.0,14,18,77.8,5,26,15,21,7,6,8,28,72,38.9,2,17,11.8,2,2,100.0,18,16,10,13,14,1,20,,31,34
2011-03-21,2011,2010-11-01,140,3390,Stanford,75,3385,St John's,49,H,0,31,58,53.4,6,16,37.5,7,11,63.6,13,28,19,13,3,6,8,22,60,36.7,1,7,14.3,4,7,57.1,11,14,11,9,7,1,14,,41,25
